config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.3,500000,499997,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.4,500000,499589,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.5,500000,495402,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.58,500000,485969,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.6,500000,482642,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.7,500000,460746,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.8,500000,433299,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,0.9,500000,403836,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.0,500000,374316,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.1,500000,346971,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.2,500000,321807,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.3,500000,299433,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.4,500000,279507,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.5,500000,261652,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.6,500000,245893,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,1.8,500000,219308,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,2.0,500000,198117,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,2.2,500000,181074,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1838_Type1_Control_Slow,0,0.1,0.1,0.1,2.4,500000,167376,0,0,0,0,0,0,0.0,0.0,0.0
